time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
4643.58,0.156076,0.472989,0.005043,0.0000,0.185410,0.570634,0.000000,0.0000
4648.94,0.156076,0.472989,0.005043,0.0000,0.185410,0.570634,0.000000,0.0000
4654.43,0.156200,0.475259,0.005011,0.0000,0.185410,0.570634,0.000000,0.0000
4659.80,0.156363,0.477435,0.004921,0.0000,0.185410,0.570634,0.000000,0.0000
4665.15,0.156363,0.477435,0.004921,0.0000,0.185410,0.570634,0.000000,0.0000
4670.52,0.156551,0.479649,0.004883,0.0000,0.185410,0.570634,0.000000,0.0000
4675.83,0.156735,0.481876,0.004742,0.0000,0.185410,0.570634,0.000000,0.0000
4681.15,0.156735,0.481876,0.004742,0.0000,0.185410,0.570634,0.000000,0.0000
4686.50,0.156928,0.484071,0.004742,0.0000,0.185410,0.570634,0.000000,0.0000
4691.86,0.157197,0.486272,0.004628,0.0000,0.185410,0.570634,0.000000,0.0000
4697.26,0.157197,0.486272,0.004628,0.0000,0.185410,0.570634,0.000000,0.0000
4702.60,0.157466,0.488403,0.004636,0.0000,0.185410,0.570634,0.000000,0.0000
4708.45,0.157755,0.490475,0.004534,0.0000,0.185410,0.570634,0.000000,0.0000
4713.82,0.157755,0.490475,0.004534,0.0000,0.185410,0.570634,0.000000,0.0000
4719.14,0.158059,0.492615,0.004508,0.0000,0.185410,0.570634,0.000000,0.0000
4724.47,0.158445,0.494647,0.004414,0.0000,0.185410,0.570634,0.000000,0.0000
4729.96,0.158445,0.494647,0.004414,0.0000,0.185410,0.570634,0.000000,0.0000
4735.30,0.158753,0.496710,0.004386,0.0000,0.185410,0.570634,0.000000,0.0000
4740.63,0.158753,0.496710,0.004386,0.0000,0.185410,0.570634,0.000000,0.0000
4745.96,0.159202,0.498822,0.004351,0.0000,0.185410,0.570634,0.000000,0.0000
4751.31,0.159627,0.500833,0.004328,0.0000,0.185410,0.570634,0.000000,0.0000
4756.62,0.159627,0.500833,0.004328,0.0000,0.185410,0.570634,0.000000,0.0000
4761.94,0.160034,0.502848,0.004337,0.0000,0.185410,0.570634,0.000000,0.0000
4767.31,0.160507,0.504829,0.004305,0.0000,0.185410,0.570634,0.000000,0.0000
4772.63,0.160507,0.504829,0.004305,0.0000,0.185410,0.570634,0.000000,0.0000
4777.94,0.161009,0.506817,0.004245,0.0000,0.185410,0.570634,0.000000,0.0000
4783.30,0.161494,0.508709,0.004254,0.0000,0.185410,0.570634,0.000000,0.0000
4788.64,0.161494,0.508709,0.004254,0.0000,0.185410,0.570634,0.000000,0.0000
4794.03,0.162006,0.510679,0.004190,0.0000,0.185410,0.570634,0.000000,0.0000
4799.54,0.162511,0.512504,0.004169,0.0000,0.185410,0.570634,0.000000,0.0000
4805.03,0.162511,0.512504,0.004169,0.0000,0.185410,0.570634,0.000000,0.0000
4810.16,0.163071,0.514432,0.004164,0.0000,0.185410,0.570634,0.000000,0.0000
4815.55,0.163071,0.514432,0.004164,0.0000,0.185410,0.570634,0.000000,0.0000
4820.98,0.163663,0.516301,0.004191,0.0000,0.185410,0.570634,0.000000,0.0000
4826.65,0.164248,0.518082,0.004166,0.0000,0.185410,0.570634,0.000000,0.0000
4831.99,0.164248,0.518082,0.004166,0.0000,0.185410,0.570634,0.000000,0.0000
4837.36,0.164795,0.520007,0.004186,0.0000,0.185410,0.570634,0.000000,0.0000
4842.70,0.165416,0.521638,0.004258,0.0000,0.185410,0.570634,0.000000,0.0000
4848.06,0.165416,0.521638,0.004258,0.0000,0.185410,0.570634,0.000000,0.0000
4853.36,0.166054,0.523436,0.004259,0.0000,0.185410,0.570634,0.000000,0.0000
4858.69,0.166659,0.525169,0.004223,0.0000,0.185410,0.570634,0.000000,0.0000
4864.03,0.166659,0.525169,0.004223,0.0000,0.185410,0.570634,0.000000,0.0000
4869.48,0.167287,0.526822,0.004211,0.0000,0.185410,0.570634,0.000000,0.0000
4874.96,0.167877,0.528513,0.004234,0.0000,0.185410,0.570634,0.000000,0.0000
4880.50,0.167877,0.528513,0.004234,0.0000,0.185410,0.570634,0.000000,0.0000
4885.88,0.168552,0.530121,0.004273,0.0000,0.185410,0.570634,0.000000,0.0000
4891.33,0.169204,0.531777,0.004287,0.0000,0.185410,0.570634,0.000000,0.0000
4896.69,0.169204,0.531777,0.004287,0.0000,0.185410,0.570634,0.000000,0.0000
4902.00,0.169861,0.533357,0.004250,0.0000,0.185410,0.570634,0.000000,0.0000
4907.36,0.169861,0.533357,0.004250,0.0000,0.185410,0.570634,0.000000,0.0000
4913.33,0.170519,0.534885,0.004285,0.0000,0.185410,0.570634,0.000000,0.0000
4918.69,0.171125,0.536396,0.004346,0.0000,0.185410,0.570634,0.000000,0.0000
4924.01,0.171125,0.536396,0.004346,0.0000,0.185410,0.570634,0.000000,0.0000
4929.31,0.171766,0.537854,0.004307,0.0000,0.185410,0.570634,0.000000,0.0000
4934.63,0.172427,0.539265,0.004366,0.0000,0.185410,0.570634,0.000000,0.0000
4939.96,0.172427,0.539265,0.004366,0.0000,0.185410,0.570634,0.000000,0.0000
4945.66,0.173037,0.540669,0.004380,0.0000,0.185410,0.570634,0.000000,0.0000
4951.04,0.173664,0.542128,0.004382,0.0000,0.185410,0.570634,0.000000,0.0000
4956.36,0.173664,0.542128,0.004382,0.0000,0.185410,0.570634,0.000000,0.0000
4961.76,0.174303,0.543444,0.004463,0.0000,0.185410,0.570634,0.000000,0.0000
4967.19,0.174885,0.544760,0.004470,0.0000,0.185410,0.570634,0.000000,0.0000
4972.61,0.174885,0.544760,0.004470,0.0000,0.185410,0.570634,0.000000,0.0000
4978.12,0.175475,0.546101,0.004483,0.0000,0.185410,0.570634,0.000000,0.0000
4983.48,0.176063,0.547349,0.004396,0.0000,0.185410,0.570634,0.000000,0.0000
4988.81,0.176063,0.547349,0.004396,0.0000,0.185410,0.570634,0.000000,0.0000
4994.30,0.176713,0.548612,0.004526,0.0000,0.185410,0.570634,0.000000,0.0000
4999.74,0.177333,0.549894,0.004535,0.0000,0.185410,0.570634,0.000000,0.0000
5005.22,0.177333,0.549894,0.004535,0.0000,0.185410,0.570634,0.000000,0.0000
5010.58,0.177928,0.551004,0.004529,0.0000,0.185410,0.570634,0.000000,0.0000
5016.53,0.178520,0.552194,0.004595,0.0000,-0.030902,0.095106,0.000000,0.0000
5021.93,0.178520,0.552194,0.004595,0.0000,-0.030902,0.095106,0.000000,0.0000
5027.24,0.179121,0.553188,0.004577,0.0000,-0.030902,0.095106,0.000000,0.0000
5032.57,0.179121,0.553188,0.004577,0.0000,-0.030902,0.095106,0.000000,0.0000
5037.89,0.179719,0.554352,0.004607,0.0000,-0.030902,0.095106,0.000000,0.0000
5043.30,0.180255,0.555376,0.004664,0.0000,-0.030902,0.095106,0.000000,0.0000
5048.68,0.180255,0.555376,0.004664,0.0000,-0.030902,0.095106,0.000000,0.0000
5054.15,0.180779,0.556392,0.004668,0.0000,-0.030902,0.095106,0.000000,0.0000
5059.49,0.181295,0.557384,0.004697,0.0000,-0.030902,0.095106,0.000000,0.0000
5064.82,0.181295,0.557384,0.004697,0.0000,-0.030902,0.095106,0.000000,0.0000
5070.26,0.181745,0.558224,0.004720,0.0000,-0.030902,0.095106,0.000000,0.0000
5075.68,0.182211,0.559130,0.004682,0.0000,-0.030902,0.095106,0.000000,0.0000
5081.00,0.182211,0.559130,0.004682,0.0000,-0.030902,0.095106,0.000000,0.0000
5086.39,0.182611,0.559895,0.004752,0.0000,-0.030902,0.095106,0.000000,0.0000
5091.71,0.183052,0.560619,0.004771,0.0000,-0.030902,0.095106,0.000000,0.0000
5097.04,0.183052,0.560619,0.004771,0.0000,-0.030902,0.095106,0.000000,0.0000
5102.36,0.183427,0.561321,0.004797,0.0000,-0.030902,0.095106,0.000000,0.0000
5107.74,0.183427,0.561321,0.004797,0.0000,-0.030902,0.095106,0.000000,0.0000
5113.11,0.183695,0.561928,0.004797,0.0000,-0.030902,0.095106,0.000000,0.0000
5118.85,0.183985,0.562460,0.004784,0.0000,-0.030902,0.095106,0.000000,0.0000
5124.26,0.183985,0.562460,0.004784,0.0000,-0.030902,0.095106,0.000000,0.0000
5129.60,0.184213,0.562901,0.004826,0.0000,-0.030902,0.095106,0.000000,0.0000
5135.24,0.184454,0.563318,0.004788,0.0000,-0.030902,0.095106,0.000000,0.0000
5140.57,0.184454,0.563318,0.004788,0.0000,-0.030902,0.095106,0.000000,0.0000
5145.91,0.184611,0.563611,0.004796,0.0000,-0.030902,0.095106,0.000000,0.0000
5151.24,0.184721,0.563939,0.004708,0.0000,-0.030902,0.095106,0.000000,0.0000
5156.58,0.184721,0.563939,0.004708,0.0000,-0.030902,0.095106,0.000000,0.0000
5161.92,0.184778,0.564209,0.004679,0.0000,-0.030902,0.095106,0.000000,0.0000
5167.56,0.184710,0.564316,0.004630,0.0000,-0.030902,0.095106,0.000000,0.0000
5172.88,0.184710,0.564316,0.004630,0.0000,-0.030902,0.095106,0.000000,0.0000
5178.34,0.184672,0.564421,0.004572,0.0000,-0.030902,0.095106,0.000000,0.0000
5183.66,0.184535,0.564450,0.004555,0.0000,-0.030902,0.095106,0.000000,0.0000
5188.98,0.184535,0.564450,0.004555,0.0000,-0.030902,0.095106,0.000000,0.0000
5194.49,0.184398,0.564442,0.004457,0.0000,-0.030902,0.095106,0.000000,0.0000
5200.47,0.184234,0.564360,0.004413,0.0000,-0.030902,0.095106,0.000000,0.0000
5205.80,0.184234,0.564360,0.004413,0.0000,-0.030902,0.095106,0.000000,0.0000
5211.30,0.183904,0.564152,0.004295,0.0000,-0.030902,0.095106,0.000000,0.0000
5216.67,0.183537,0.563888,0.004211,0.0000,-0.030902,0.095106,0.000000,0.0000
5222.04,0.183537,0.563888,0.004211,0.0000,-0.030902,0.095106,0.000000,0.0000
5227.36,0.183116,0.563504,0.004101,0.0000,-0.030902,0.095106,0.000000,0.0000
5232.68,0.183116,0.563504,0.004101,0.0000,-0.030902,0.095106,0.000000,0.0000
5238.45,0.182683,0.563052,0.004000,0.0000,-0.030902,0.095106,0.000000,0.0000
